[2026-03-27 18:14:41,161: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:15:41,142: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:15:41,150: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:15:41,161: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:16:41,142: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:16:41,151: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:16:41,163: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:17:41,143: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:17:41,151: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:17:41,164: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:18:11,171: INFO/MainProcess] Scheduler: Sending due task ip-scan-all-subnets (ipmanagement.tasks.scan_all_subnets)
[2026-03-27 18:18:41,214: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:18:41,219: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:18:41,223: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:19:41,214: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:19:41,219: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:19:41,226: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:20:41,216: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:20:41,221: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:20:41,229: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:21:41,216: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
